State,Area_Name,Rural_Urban_Continuum_Code_2003,Rural_Urban_Continuum_Code_2013,Urban_Influence_2003,Urban_Influence_2013,Economic_typology_2015,CENSUS_2020_POP,ESTIMATES_BASE_2020,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022,N_POP_CHG_2020,N_POP_CHG_2021,N_POP_CHG_2022
IL,Douglas County,6,6,6,6,3,"19,740","19,734","19,758","19,740","19,755",24,-18,15
IL,DuPage County,1,1,1,1,0,"932,877","932,877","931,244","926,448","920,901","-1,633","-4,796","-5,547"
IL,Edgar County,6,6,6,6,3,"16,866","16,868","16,796","16,589","16,433",-72,-207,-156
IL,Edwards County,9,9,12,12,3,"6,245","6,247","6,208","6,086","6,071",-39,-122,-15
IL,Effingham County,7,7,8,8,0,"34,668","34,671","34,695","34,531","34,325",24,-164,-206
IL,Fayette County,6,6,4,4,0,"21,488","21,492","21,483","21,447","21,305",-9,-36,-142
IL,Ford County,3,3,2,2,0,"13,534","13,531","13,517","13,491","13,249",-14,-26,-242
IL,Franklin County,5,4,9,6,0,"37,804","37,798","37,685","37,498","37,242",-113,-187,-256
IL,Fulton County,6,6,5,5,0,"33,609","33,611","33,488","33,313","33,021",-123,-175,-292
IL,Gallatin County,8,8,7,7,0,"4,946","4,948","4,938","4,907","4,855",-10,-31,-52
IL,Greene County,6,6,4,4,1,"11,985","11,988","11,936","11,851","11,651",-52,-85,-200
IL,Grundy County,1,1,1,1,0,"52,533","52,544","52,517","52,929","53,041",-27,412,112
IL,Hamilton County,7,7,8,9,1,"7,993","7,993","7,997","7,923","7,984",4,-74,61
IL,Hancock County,7,7,9,8,0,"17,620","17,621","17,547","17,388","17,244",-74,-159,-144
IL,Hardin County,9,9,10,12,2,"3,649","3,647","3,641","3,650","3,597",-6,9,-53
IL,Henderson County,9,9,8,8,1,"6,387","6,385","6,334","6,304","6,151",-51,-30,-153
IL,Henry County,2,2,2,2,0,"49,284","49,290","49,172","48,868","48,419",-118,-304,-449
IL,Iroquois County,6,6,6,4,1,"27,077","27,079","26,977","26,761","26,473",-102,-216,-288
IL,Jackson County,5,3,8,2,4,"52,974","52,984","52,906","52,666","52,617",-78,-240,-49
IL,Jasper County,7,7,9,9,1,"9,287","9,288","9,240","9,204","9,212",-48,-36,8
IL,Jefferson County,7,7,8,8,0,"37,113","37,118","36,998","36,882","36,400",-120,-116,-482
IL,Jersey County,1,1,1,1,0,"21,512","21,520","21,495","21,370","21,246",-25,-125,-124
IL,Jo Daviess County,6,6,6,6,5,"22,035","22,042","22,057","21,932","21,758",15,-125,-174
IL,Johnson County,7,8,10,6,4,"13,308","13,310","13,322","13,471","13,381",12,149,-90
IL,Kane County,1,1,1,1,0,"516,522","516,520","516,141","516,183","514,182",-379,42,"-2,001"
IL,Kankakee County,3,3,2,2,0,"107,502","107,508","107,250","106,652","106,074",-258,-598,-578
IL,Kendall County,1,1,1,1,0,"131,869","131,868","132,348","134,948","137,254",480,"2,600","2,306"
IL,Knox County,4,4,5,5,0,"49,967","49,971","49,799","49,347","48,640",-172,-452,-707
IL,Lake County,1,1,1,1,0,"714,342","714,351","713,251","712,160","709,150","-1,100","-1,091","-3,010"
IL,LaSalle County,4,4,3,3,0,"109,658","109,663","109,421","109,139","108,078",-242,-282,"-1,061"
IL,Lawrence County,7,7,9,9,2,"15,280","15,283","15,258","15,216","14,914",-25,-42,-302
IL,Lee County,4,6,3,3,0,"34,145","34,144","34,051","34,166","33,848",-93,115,-318
IL,Livingston County,4,4,5,3,0,"35,815","35,816","35,779","35,741","35,521",-37,-38,-220
IL,Logan County,6,6,5,5,0,"27,987","27,986","27,899","27,970","27,591",-87,71,-379
IL,McDonough County,5,5,8,8,4,"27,238","27,237","27,097","26,848","26,861",-140,-249,13
IL,McHenry County,1,1,1,1,0,"310,229","310,227","309,886","311,592","311,747",-341,"1,706",155
IL,McLean County,3,3,2,2,0,"170,954","170,975","170,954","171,190","171,141",-21,236,-49
IL,Macon County,3,3,2,2,3,"103,998","104,003","103,756","102,649","101,483",-247,"-1,107","-1,166"
IL,Macoupin County,1,1,1,1,0,"44,967","44,967","44,845","44,545","44,245",-122,-300,-300
IL,Madison County,1,1,1,1,0,"265,859","265,858","265,610","264,898","263,864",-248,-712,"-1,034"
IL,Marion County,4,4,3,3,0,"37,729","37,727","37,639","37,378","36,914",-88,-261,-464
IL,Marshall County,2,2,2,2,3,"11,742","11,744","11,706","11,686","11,678",-38,-20,-8
IL,Mason County,6,6,6,6,0,"13,086","13,091","13,057","12,859","12,748",-34,-198,-111
IL,Massac County,7,7,8,8,5,"14,169","14,176","14,138","13,966","13,896",-38,-172,-70
IL,Menard County,3,3,2,2,1,"12,297","12,296","12,271","12,184","12,121",-25,-87,-63
IL,Mercer County,2,2,2,2,0,"15,699","15,694","15,627","15,568","15,504",-67,-59,-64
IL,Monroe County,1,1,1,1,0,"34,962","34,953","34,952","34,993","35,033",-1,41,40
IL,Montgomery County,6,6,6,4,0,"28,288","28,287","28,203","28,154","28,020",-84,-49,-134
IL,Morgan County,4,4,5,5,0,"32,915","32,917","32,838","32,599","32,209",-79,-239,-390
IL,Moultrie County,6,6,6,6,3,"14,526","14,523","14,476","14,509","14,323",-47,33,-186
IL,Ogle County,4,4,5,3,0,"51,788","51,788","51,694","51,474","51,351",-94,-220,-123
IL,Peoria County,2,2,2,2,0,"181,830","181,833","181,322","179,764","178,383",-511,"-1,558","-1,381"
IL,Perry County,7,6,9,6,4,"20,945","20,940","20,882","21,033","20,588",-58,151,-445
IL,Piatt County,3,3,2,2,1,"16,673","16,672","16,674","16,781","16,723",2,107,-58
IL,Pike County,7,7,9,9,0,"14,739","14,737","14,641","14,609","14,484",-96,-32,-125
IL,Pope County,9,8,10,7,4,"3,763","3,768","3,758","3,770","3,770",-10,12,0
IL,Pulaski County,9,8,10,7,4,"5,193","5,191","5,160","5,073","4,991",-31,-87,-82
IL,Putnam County,8,8,5,5,3,"5,637","5,638","5,631","5,596","5,572",-7,-35,-24
IL,Randolph County,6,6,4,4,3,"30,163","30,165","30,086","30,219","30,068",-79,133,-151
IL,Richland County,7,7,11,11,0,"15,813","15,800","15,778","15,685","15,435",-22,-93,-250
IL,Rock Island County,2,2,2,2,0,"144,672","144,678","144,359","142,992","141,527",-319,"-1,367","-1,465"
IL,St. Clair County,1,1,1,1,0,"257,400","257,403","256,823","255,022","252,671",-580,"-1,801","-2,351"
IL,Saline County,7,6,8,6,2,"23,768","23,772","23,688","23,348","23,087",-84,-340,-261
IL,Sangamon County,3,3,2,2,4,"196,343","196,338","196,122","195,422","194,534",-216,-700,-888
IL,Schuyler County,7,7,9,9,2,"6,902","6,902","6,871","6,822","6,746",-31,-49,-76
IL,Scott County,9,9,8,8,1,"4,949","4,947","4,941","4,855","4,790",-6,-86,-65
IL,Shelby County,6,6,6,6,1,"20,990","20,995","20,924","20,861","20,761",-71,-63,-100
IL,Stark County,2,2,2,2,1,"5,400","5,405","5,391","5,296","5,345",-14,-95,49
IL,Stephenson County,4,4,5,5,3,"44,630","44,623","44,493","44,071","43,627",-130,-422,-444
IL,Tazewell County,2,2,2,2,3,"131,343","131,334","131,073","130,563","129,911",-261,-510,-652
IL,Union County,7,6,9,6,4,"17,244","17,243","17,182","16,937","16,767",-61,-245,-170
IL,Vermilion County,3,3,2,2,0,"74,188","74,199","74,001","73,263","72,337",-198,-738,-926
IL,Wabash County,6,7,6,11,2,"11,361","11,361","11,315","11,210","11,087",-46,-105,-123
IL,Warren County,7,6,8,6,3,"16,835","16,840","16,828","16,595","16,354",-12,-233,-241
IL,Washington County,6,6,4,4,0,"13,761","13,767","13,731","13,651","13,643",-36,-80,-8
IL,Wayne County,7,7,9,9,0,"16,179","16,173","16,125","15,967","15,872",-48,-158,-95
IL,White County,6,6,6,6,2,"13,877","13,872","13,807","13,768","13,614",-65,-39,-154
IL,Whiteside County,4,4,5,5,3,"55,691","55,691","55,553","55,342","54,658",-138,-211,-684
IL,Will County,1,1,1,1,0,"696,355","696,362","695,844","697,985","696,757",-518,"2,141","-1,228"
IL,Williamson County,5,3,8,2,4,"67,153","67,154","67,113","66,943","66,695",-41,-170,-248
IL,Winnebago County,2,2,2,2,3,"285,350","285,350","284,928","283,559","282,188",-422,"-1,369","-1,371"
IL,Woodford County,2,2,2,2,3,"38,467","38,450","38,395","38,210","38,128",-55,-185,-82
IN,Indiana,,,,,,"6,785,528","6,785,668","6,788,799","6,813,532","6,833,037","3,131","24,733","19,505"
IN,Adams County,6,6,5,5,3,"35,809","35,811","35,852","35,939","36,068",41,87,129
IN,Allen County,2,2,2,2,0,"385,410","385,411","386,082","389,112","391,449",671,"3,030","2,337"
IN,Bartholomew County,3,3,2,2,3,"82,208","82,218","82,216","82,730","83,540",-2,514,810
IN,Benton County,3,3,2,2,1,"8,719","8,720","8,716","8,714","8,719",-4,-2,5
IN,Blackford County,6,6,6,6,3,"12,112","12,115","12,111","12,056","11,919",-4,-55,-137
IN,Boone County,1,1,1,1,0,"70,812","70,814","71,134","73,006","74,164",320,"1,872","1,158"
IN,Brown County,1,1,1,1,5,"15,475","15,475","15,482","15,573","15,570",7,91,-3
IN,Carroll County,3,3,2,2,3,"20,306","20,304","20,331","20,502","20,555",27,171,53
IN,Cass County,4,4,5,5,3,"37,870","37,870","37,791","37,579","37,540",-79,-212,-39
IN,Clark County,1,1,1,1,0,"121,093","121,091","121,353","122,847","124,237",262,"1,494","1,390"
IN,Clay County,3,3,2,2,3,"26,466","26,457","26,419","26,370","26,379",-38,-49,9
IN,Clinton County,6,6,5,3,3,"33,190","33,188","33,174","33,025","32,843",-14,-149,-182
IN,Crawford County,8,8,4,4,0,"10,526","10,530","10,525","10,491","10,536",-5,-34,45
IN,Daviess County,7,7,8,8,0,"33,381","33,391","33,366","33,381","33,418",-25,15,37
IN,Dearborn County,1,1,1,1,5,"50,679","50,680","50,754","50,946","51,138",74,192,192
IN,Decatur County,6,6,3,3,3,"26,472","26,471","26,465","26,322","26,416",-6,-143,94
IN,DeKalb County,4,4,5,5,3,"43,265","43,273","43,297","43,369","43,731",24,72,362
IN,Delaware County,3,3,2,2,4,"111,903","111,909","111,763","111,981","112,031",-146,218,50
IN,Dubois County,7,5,8,8,3,"43,637","43,635","43,643","43,625","43,632",8,-18,7
IN,Elkhart County,3,3,2,2,3,"207,047","207,054","206,983","207,066","206,890",-71,83,-176
IN,Fayette County,7,6,8,3,0,"23,398","23,404","23,362","23,376","23,349",-42,14,-27
IN,Floyd County,1,1,1,1,0,"80,484","80,474","80,509","80,606","80,714",35,97,108
IN,Fountain County,6,6,6,6,3,"16,479","16,474","16,483","16,466","16,574",9,-17,108
IN,Franklin County,1,6,1,4,0,"22,785","22,796","22,793","22,857","23,028",-3,64,171
IN,Fulton County,7,7,9,9,3,"20,480","20,480","20,469","20,380","20,327",-11,-89,-53
IN,Gibson County,2,6,2,6,3,"33,011","33,017","33,055","32,954","32,993",38,-101,39
IN,Grant County,4,4,5,3,3,"66,674","66,661","66,475","66,203","66,022",-186,-272,-181
IN,Greene County,3,6,2,6,0,"30,803","30,805","30,804","30,826","31,006",-1,22,180
IN,Hamilton County,1,1,1,1,0,"347,467","347,465","348,966","357,330","364,921","1,501","8,364","7,591"
IN,Hancock County,1,1,1,1,0,"79,840","79,851","80,187","81,855","83,070",336,"1,668","1,215"
IN,Harrison County,1,1,1,1,5,"39,654","39,649","39,662","39,817","39,851",13,155,34
IN,Hendricks County,1,1,1,1,0,"174,788","174,792","175,575","179,555","182,534",783,"3,980","2,979"
IN,Henry County,4,4,3,3,0,"48,914","48,912","48,903","49,036","48,915",-9,133,-121
IN,Howard County,3,3,2,2,3,"83,658","83,659","83,588","83,642","83,574",-71,54,-68
IN,Huntington County,6,6,5,5,3,"36,662","36,670","36,646","36,792","36,834",-24,146,42
IN,Jackson County,4,4,5,5,3,"46,428","46,425","46,461","46,285","46,300",36,-176,15
IN,Jasper County,1,1,1,1,0,"32,918","32,912","32,892","33,113","33,281",-20,221,168
IN,Jay County,6,6,6,6,3,"20,478","20,478","20,476","20,309","20,198",-2,-167,-111
IN,Jefferson County,6,6,3,3,3,"33,147","33,147","33,100","33,119","32,946",-47,19,-173
IN,Jennings County,6,6,5,5,3,"27,613","27,614","27,581","27,507","27,536",-33,-74,29
IN,Johnson County,1,1,1,1,0,"161,765","161,768","162,224","164,418","165,782",456,"2,194","1,364"
IN,Knox County,4,5,5,8,4,"36,282","36,286","36,248","35,964","35,789",-38,-284,-175
IN,Kosciusko County,4,4,5,5,3,"80,240","80,247","80,155","80,323","80,826",-92,168,503
IN,LaGrange County,6,6,6,6,3,"40,446","40,444","40,530","40,538","40,866",86,8,328
IN,Lake County,1,1,1,1,0,"498,700","498,707","498,932","499,327","499,689",225,395,362
IN,LaPorte County,3,3,2,2,0,"112,417","112,422","112,276","112,486","111,675",-146,210,-811
IN,Lawrence County,4,6,5,5,0,"45,011","45,015","45,012","45,045","45,222",-3,33,177
IN,Madison County,3,1,2,1,0,"130,129","130,141","130,195","130,979","131,744",54,784,765
IN,Marion County,1,1,1,1,0,"977,203","977,213","976,631","971,647","969,466",-582,"-4,984","-2,181"
IN,Marshall County,6,6,5,5,3,"46,095","46,096","46,076","46,175","46,332",-20,99,157
IN,Martin County,6,7,6,9,4,"9,812","9,806","9,803","9,799","9,803",-3,-4,4
IN,Miami County,6,6,5,5,4,"35,962","35,972","35,913","36,032","35,674",-59,119,-358
IN,Monroe County,3,3,2,2,4,"139,718","139,717","139,571","140,135","139,745",-146,564,-390
IN,Montgomery County,6,6,3,3,3,"37,936","37,941","37,942","38,061","38,273",1,119,212
IN,Morgan County,1,1,1,1,0,"71,780","71,785","71,848","72,260","72,236",63,412,-24
IN,Newton County,1,1,1,1,0,"13,830","13,825","13,786","13,793","13,823",-39,7,30
IN,Noble County,6,6,5,5,3,"47,457","47,461","47,453","47,419","47,367",-8,-34,-52
IN,Ohio County,1,1,1,1,5,"5,940","5,930","5,922","5,992","6,114",-8,70,122
IN,Orange County,6,6,4,4,5,"19,867","19,872","19,848","19,812","19,623",-24,-36,-189
IN,Owen County,3,3,2,2,3,"21,321","21,326","21,314","21,432","21,482",-12,118,50
IN,Parke County,6,6,6,4,4,"16,156","16,154","16,155","16,486","16,369",1,331,-117
IN,Perry County,6,6,9,6,3,"19,170","19,170","19,151","19,317","19,183",-19,166,-134
IN,Pike County,6,8,5,5,2,"12,250","12,252","12,247","12,178","12,168",-5,-69,-10
IN,Porter County,1,1,1,1,3,"173,215","173,208","173,295","174,517","174,791",87,"1,222",274
IN,Posey County,2,2,2,2,3,"25,222","25,213","25,173","25,129","25,063",-40,-44,-66
IN,Pulaski County,6,6,4,4,3,"12,514","12,523","12,523","12,370","12,485",0,-153,115
IN,Putnam County,1,1,1,1,0,"36,726","36,728","36,679","37,016","37,301",-49,337,285
IN,Randolph County,6,6,6,6,3,"24,502","24,502","24,409","24,437","24,437",-93,28,0
IN,Ripley County,6,6,4,4,0,"28,995","28,984","28,968","29,017","29,087",-16,49,70
IN,Rush County,6,6,4,4,0,"16,752","16,755","16,767","16,699","16,673",12,-68,-26
IN,St. Joseph County,2,2,2,2,0,"272,912","272,914","272,672","272,341","272,234",-242,-331,-107
IN,Scott County,6,1,3,1,3,"24,384","24,383","24,371","24,437","24,588",-12,66,151
IN,Shelby County,1,1,1,1,3,"45,055","45,052","45,058","45,025","44,991",6,-33,-34
IN,Spencer County,8,8,7,7,0,"19,810","19,814","19,835","19,875","19,967",21,40,92
IN,Starke County,6,6,6,4,0,"23,371","23,370","23,380","23,378","23,258",10,-2,-120
IN,Steuben County,7,7,8,8,3,"34,435","34,448","34,453","34,666","34,725",5,213,59
IN,Sullivan County,3,3,2,2,2,"20,817","20,820","20,819","20,781","20,670",-1,-38,-111
IN,Switzerland County,8,8,4,4,5,"9,737","9,753","9,742","9,849","10,006",-11,107,157
IN,Tippecanoe County,3,3,2,2,4,"186,251","186,249","186,369","187,566","188,717",120,"1,197","1,151"
IN,Tipton County,3,6,2,4,0,"15,359","15,355","15,386","15,393","15,361",31,7,-32
IN,Union County,8,1,4,1,0,"7,087","7,087","7,081","7,014","6,952",-6,-67,-62
IN,Vanderburgh County,2,2,2,2,0,"180,136","180,136","180,331","180,267","179,744",195,-64,-523
IN,Vermillion County,3,3,2,2,3,"15,439","15,447","15,409","15,440","15,451",-38,31,11
IN,Vigo County,3,3,2,2,0,"106,153","106,158","106,119","106,084","106,006",-39,-35,-78
IN,Wabash County,6,6,5,5,3,"30,976","30,986","30,936","30,897","30,828",-50,-39,-69
IN,Warren County,8,8,7,7,1,"8,440","8,436","8,424","8,459","8,461",-12,35,2
IN,Warrick County,2,2,2,2,0,"63,898","63,896","63,996","64,623","65,185",100,627,562
IN,Washington County,1,1,1,1,3,"28,182","28,176","28,242","28,151","28,224",66,-91,73
IN,Wayne County,5,5,8,8,0,"66,553","66,555","66,513","66,490","66,273",-42,-23,-217
IN,Wells County,2,2,2,2,3,"28,180","28,187","28,167","28,177","28,335",-20,10,158
IN,White County,6,6,6,6,3,"24,688","24,691","24,668","24,662","24,598",-23,-6,-64
IN,Whitley County,2,2,2,2,3,"34,191","34,190","34,338","34,492","34,627",148,154,135
IA,Iowa,,,,,,"3,190,369","3,190,372","3,190,571","3,197,689","3,200,517",199,"7,118","2,828"
IA,Adair County,8,8,7,7,0,"7,496","7,498","7,494","7,538","7,494",-4,44,-44
IA,Adams County,9,9,12,12,3,"3,704","3,708","3,710","3,642","3,611",2,-68,-31
IA,Allamakee County,6,6,6,6,0,"14,061","14,061","14,068","13,968","13,960",7,-100,-8
IA,Appanoose County,7,7,9,9,0,"12,317","12,315","12,285","12,266","12,094",-30,-19,-172
IA,Audubon County,8,8,7,7,1,"5,674","5,676","5,681","5,665","5,598",5,-16,-67
IA,Benton County,3,2,2,2,0,"25,575","25,571","25,534","25,719","25,711",-37,185,-8
IA,Black Hawk County,3,3,2,2,3,"131,144","131,147","131,034","130,606","130,274",-113,-428,-332
IA,Boone County,6,6,5,5,0,"26,715","26,715","26,700","26,776","26,609",-15,76,-167
IA,Bremer County,3,3,2,2,0,"24,988","24,988","25,003","25,122","25,259",15,119,137
IA,Buchanan County,6,6,6,6,0,"20,565","20,565","20,606","20,697","20,714",41,91,17
IA,Buena Vista County,7,7,8,8,3,"20,823","20,830","20,809","20,767","20,600",-21,-42,-167
IA,Butler County,8,8,7,7,1,"14,334","14,335","14,332","14,362","14,269",-3,30,-93
IA,Calhoun County,9,9,10,10,1,"9,927","9,914","9,882","9,884","9,725",-32,2,-159
IA,Carroll County,7,7,11,11,0,"20,760","20,757","20,721","20,752","20,567",-36,31,-185
IA,Cass County,6,6,6,6,0,"13,127","13,132","13,118","13,065","13,104",-14,-53,39
IA,Cedar County,6,6,6,6,0,"18,505","18,497","18,491","18,444","18,399",-6,-47,-45
IA,Cerro Gordo County,5,5,8,8,0,"43,127","43,132","43,023","42,761","42,409",-109,-262,-352
IA,Cherokee County,6,6,6,6,3,"11,658","11,664","11,663","11,532","11,491",-1,-131,-41
IA,Chickasaw County,6,6,6,6,3,"12,012","12,015","11,990","11,899","11,716",-25,-91,-183
IA,Clarke County,6,6,6,6,3,"9,748","9,744","9,726","9,756","9,692",-18,30,-64
IA,Clay County,7,7,8,8,0,"16,384","16,381","16,335","16,428","16,475",-46,93,47
IA,Clayton County,8,8,7,7,0,"17,043","17,045","17,030","17,047","17,027",-15,17,-20
IA,Clinton County,4,4,5,5,3,"46,460","46,470","46,432","46,526","46,344",-38,94,-182
IA,Crawford County,6,7,6,11,3,"16,525","16,526","16,490","16,243","16,123",-36,-247,-120
IA,Dallas County,2,2,2,2,0,"99,678","99,677","100,473","104,069","108,016",796,"3,596","3,947"
IA,Davis County,9,9,9,8,1,"9,110","9,110","9,112","9,146","9,130",2,34,-16
IA,Decatur County,9,9,12,12,0,"7,645","7,639","7,605","7,660","7,683",-34,55,23
IA,Delaware County,6,6,6,6,3,"17,488","17,484","17,456","17,531","17,568",-28,75,37
IA,Des Moines County,5,5,8,8,3,"38,910","38,907","38,816","38,507","38,293",-91,-309,-214
IA,Dickinson County,7,7,8,8,5,"17,703","17,704","17,766","17,852","18,028",62,86,176
IA,Dubuque County,3,3,2,2,0,"99,266","99,264","99,291","98,815","98,677",27,-476,-138
IA,Emmet County,7,7,9,9,0,"9,388","9,383","9,335","9,318","9,176",-48,-17,-142
IA,Fayette County,6,6,6,6,0,"19,509","19,511","19,445","19,309","19,294",-66,-136,-15
IA,Floyd County,7,7,9,9,3,"15,627","15,627","15,590","15,449","15,337",-37,-141,-112
IA,Franklin County,7,7,9,9,1,"10,019","10,016","9,997","9,952","9,916",-19,-45,-36
IA,Fremont County,8,8,6,6,3,"6,605","6,602","6,567","6,575","6,464",-35,8,-111
IA,Greene County,6,6,6,6,1,"8,771","8,766","8,752","8,733","8,741",-14,-19,8
IA,Grundy County,3,3,2,2,1,"12,329","12,329","12,334","12,371","12,356",5,37,-15
IA,Guthrie County,2,2,2,2,1,"10,623","10,623","10,613","10,586","10,647",-10,-27,61
IA,Hamilton County,6,6,6,6,1,"15,039","15,039","15,008","14,883","14,820",-31,-125,-63
IA,Hancock County,7,7,9,9,3,"10,795","10,794","10,757","10,685","10,685",-37,-72,0
IA,Hardin County,6,6,6,6,1,"16,878","16,873","16,820","16,719","16,567",-53,-101,-152
IA,Harrison County,2,2,2,2,1,"14,582","14,578","14,564","14,683","14,658",-14,119,-25
IA,Henry County,7,6,9,6,3,"20,482","20,488","20,451","20,390","20,196",-37,-61,-194
IA,Howard County,7,6,11,6,1,"9,469","9,468","9,492","9,500","9,533",24,8,33
IA,Humboldt County,7,7,9,9,3,"9,597","9,598","9,595","9,637","9,572",-3,42,-65
IA,Ida County,8,8,7,7,3,"7,005","7,002","7,019","6,974","6,888",17,-45,-86
IA,Iowa County,8,6,6,6,3,"16,662","16,663","16,654","16,574","16,475",-9,-80,-99
IA,Jackson County,6,6,6,6,0,"19,485","19,485","19,452","19,397","19,324",-33,-55,-73
IA,Jasper County,6,6,5,5,0,"37,813","37,809","37,810","37,874","37,938",1,64,64
IA,Jefferson County,7,7,9,8,0,"15,663","15,665","15,693","15,762","15,698",28,69,-64
IA,Johnson County,3,3,2,2,4,"152,854","152,861","153,042","155,016","156,420",181,"1,974","1,404"
IA,Jones County,3,2,2,2,0,"20,646","20,646","20,653","20,839","20,848",7,186,9
IA,Keokuk County,8,8,7,7,1,"10,033","10,035","10,012","9,924","9,904",-23,-88,-20
IA,Kossuth County,7,7,11,11,1,"14,828","14,822","14,794","14,524","14,475",-28,-270,-49
IA,Lee County,5,5,8,8,3,"33,555","33,548","33,520","33,208","32,840",-28,-312,-368
IA,Linn County,3,2,2,2,0,"230,299","230,303","230,411","229,458","229,033",108,-953,-425
IA,Louisa County,8,8,5,7,3,"10,837","10,837","10,821","10,747","10,677",-16,-74,-70
IA,Lucas County,6,6,6,6,0,"8,634","8,636","8,620","8,696","8,689",-16,76,-7
IA,Lyon County,8,8,6,6,1,"11,934","11,934","11,927","12,061","12,179",-7,134,118
IA,Madison County,2,2,2,2,0,"16,548","16,545","16,628","16,789","17,036",83,161,247
IA,Mahaska County,7,7,8,8,0,"22,190","22,180","22,147","21,944","21,946",-33,-203,2
IA,Marion County,6,6,6,6,3,"33,414","33,417","33,408","33,444","33,642",-9,36,198
IA,Marshall County,4,4,5,5,3,"40,105","40,104","40,093","39,899","39,879",-11,-194,-20
IA,Mills County,2,2,2,2,4,"14,484","14,486","14,399","14,464","14,553",-87,65,89
IA,Mitchell County,7,7,9,9,3,"10,565","10,563","10,588","10,563","10,532",25,-25,-31
IA,Monona County,6,6,6,6,1,"8,751","8,757","8,746","8,595","8,486",-11,-151,-109
IA,Monroe County,7,7,9,9,3,"7,577","7,574","7,597","7,595","7,550",23,-2,-45
IA,Montgomery County,6,6,6,6,0,"10,330","10,329","10,330","10,325","10,205",1,-5,-120
IA,Muscatine County,4,4,5,5,3,"43,235","43,242","43,141","42,688","42,377",-101,-453,-311
IA,O'Brien County,7,7,9,9,1,"14,182","14,187","14,154","14,062","14,060",-33,-92,-2
IA,Osceola County,7,7,9,9,1,"6,192","6,196","6,202","6,163","6,036",6,-39,-127
IA,Page County,7,6,11,6,0,"15,211","15,213","15,196","15,215","15,143",-17,19,-72
IA,Palo Alto County,7,7,9,9,1,"8,996","8,999","8,989","8,909","8,764",-10,-80,-145
IA,Plymouth County,6,3,6,2,3,"25,698","25,697","25,689","25,714","25,681",-8,25,-33
IA,Pocahontas County,9,9,10,10,1,"7,078","7,077","7,067","7,057","7,053",-10,-10,-4
IA,Polk County,2,2,2,2,0,"492,401","492,411","492,997","497,675","501,089",586,"4,678","3,414"
IA,Pottawattamie County,2,2,2,2,0,"93,667","93,670","93,670","93,434","93,173",0,-236,-261
IA,Poweshiek County,7,7,9,9,0,"18,662","18,658","18,628","18,603","18,467",-30,-25,-136
IA,Ringgold County,9,9,12,12,1,"4,663","4,663","4,642","4,626","4,670",-21,-16,44
IA,Sac County,9,9,10,10,1,"9,814","9,817","9,794","9,745","9,673",-23,-49,-72
IA,Scott County,2,2,2,2,0,"174,669","174,669","174,596","174,278","173,924",-73,-318,-354
IA,Shelby County,6,6,6,6,0,"11,746","11,748","11,723","11,773","11,645",-25,50,-128
IA,Sioux County,6,7,6,11,3,"35,872","35,870","35,887","35,991","36,050",17,104,59
IA,Story County,3,3,2,2,4,"98,537","98,536","98,645","99,666","99,673",109,"1,021",7
IA,Tama County,6,6,6,6,1,"17,135","17,130","17,077","16,874","16,903",-53,-203,29
IA,Taylor County,9,9,10,10,1,"5,896","5,896","5,865","5,873","5,858",-31,8,-15
IA,Union County,6,6,6,6,3,"12,138","12,145","12,132","12,036","11,887",-13,-96,-149
IA,Van Buren County,9,9,10,10,3,"7,203","7,203","7,217","7,261","7,256",14,44,-5
IA,Wapello County,5,5,8,8,3,"35,437","35,445","35,330","35,283","35,043",-115,-47,-240
IA,Warren County,2,2,2,2,0,"52,403","52,402","52,588","53,487","54,327",186,899,840
IA,Washington County,3,3,2,2,0,"22,565","22,567","22,540","22,494","22,571",-27,-46,77
IA,Wayne County,9,9,12,12,3,"6,497","6,495","6,504","6,511","6,467",9,7,-44
IA,Webster County,5,5,8,8,0,"36,999","36,996","36,985","37,178","36,626",-11,193,-552
IA,Winnebago County,7,7,9,9,0,"10,679","10,683","10,662","10,664","10,617",-21,2,-47
IA,Winneshiek County,7,7,11,11,0,"20,070","20,061","20,037","19,915","19,974",-24,-122,59
IA,Woodbury County,3,3,2,2,0,"105,941","105,944","105,904","105,816","105,671",-40,-88,-145
IA,Worth County,9,9,8,8,1,"7,443","7,444","7,435","7,380","7,319",-9,-55,-61
IA,Wright County,7,7,9,9,1,"12,943","12,941","12,915","12,811","12,681",-26,-104,-130
KS,Kansas,,,,,,"2,937,880","2,937,847","2,937,919","2,937,922","2,937,150",72,3,-772
KS,Allen County,7,7,11,11,3,"12,526","12,522","12,532","12,526","12,579",10,-6,53
KS,Anderson County,6,6,4,4,1,"7,836","7,839","7,843","7,800","7,776",4,-43,-24
KS,Atchison County,6,6,3,3,3,"16,348","16,341","16,318","16,257","16,108",-23,-61,-149
KS,Barber County,9,9,12,12,2,"4,228","4,233","4,203","4,099","4,122",-30,-104,23
KS,Barton County,7,7,8,8,2,"25,493","25,495","25,419","25,239","25,080",-76,-180,-159
KS,Bourbon County,6,6,4,4,0,"14,360","14,361","14,333","14,336","14,493",-28,3,157
KS,Brown County,6,6,6,6,0,"9,508","9,511","9,482","9,453","9,364",-29,-29,-89
KS,Butler County,2,2,2,2,0,"67,380","67,383","67,390","67,958","68,240",7,568,282
