State,Area_Name,Rural_Urban_Continuum_Code_2003,Rural_Urban_Continuum_Code_2013,Urban_Influence_2003,Urban_Influence_2013,Economic_typology_2015,CENSUS_2020_POP,ESTIMATES_BASE_2020,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022,N_POP_CHG_2020,N_POP_CHG_2021,N_POP_CHG_2022
AL,Sumter County,8,8,6,6,4,"12,345","12,348","12,196","11,961","11,853",-152,-235,-108
AL,Talladega County,4,4,5,3,3,"82,149","82,152","81,428","80,483","80,704",-724,-945,221
AL,Tallapoosa County,6,6,6,6,0,"41,311","41,316","41,286","41,132","40,977",-30,-154,-155
AL,Tuscaloosa County,3,3,2,2,4,"227,036","227,041","231,534","235,668","236,780","4,493","4,134","1,112"
AL,Walker County,1,1,1,1,0,"65,342","65,342","65,132","64,629","64,339",-210,-503,-290
AL,Washington County,8,8,7,7,3,"15,388","15,388","15,327","15,234","15,122",-61,-93,-112
AL,Wilcox County,8,9,7,10,3,"10,600","10,601","10,432","10,331","10,059",-169,-101,-272
AL,Winston County,6,6,4,4,3,"23,540","23,544","23,488","23,672","23,755",-56,184,83
AK,Alaska,,,,,,"733,391","733,378","732,923","734,182","733,583",-455,"1,259",-599
AK,Aleutians East Borough,9,9,12,12,3,"3,420","3,419","3,425","3,424","3,398",6,-1,-26
AK,Aleutians West Census Area,7,9,11,11,3,"5,232","5,232","5,222","5,155","5,122",-10,-67,-33
AK,Anchorage Municipality,2,2,2,2,4,"291,247","291,244","290,866","288,702","287,145",-378,"-2,164","-1,557"
AK,Bethel Census Area,7,7,11,11,0,"18,666","18,670","18,673","18,599","18,257",3,-74,-342
AK,Bristol Bay Borough,9,9,12,12,3,844,843,829,841,865,-14,12,24
AK,Chugach Census Area,,,,,,"7,102","7,097","7,077","6,943","6,874",-20,-134,-69
AK,Copper River Census Area,,,,,,"2,617","2,618","2,616","2,611","2,589",-2,-5,-22
AK,Denali Borough,8,8,7,7,5,"1,619","1,624","1,614","1,594","1,585",-10,-20,-9
AK,Dillingham Census Area,9,9,12,12,3,"4,857","4,853","4,835","4,774","4,723",-18,-61,-51
AK,Fairbanks North Star Borough,3,3,2,2,4,"95,655","95,657","95,328","95,528","95,356",-329,200,-172
AK,Haines Borough,9,9,10,12,5,"2,080","2,080","2,086","2,074","2,056",6,-12,-18
AK,Hoonah-Angoon Census Area,,9,,10,4,"2,365","2,364","2,362","2,339","2,287",-2,-23,-52
AK,Juneau City and Borough,5,5,8,8,4,"32,255","32,255","32,202","31,965","31,685",-53,-237,-280
AK,Kenai Peninsula Borough,7,7,11,11,5,"58,799","58,789","58,927","59,851","60,690",138,924,839
AK,Ketchikan Gateway Borough,7,7,8,8,4,"13,948","13,957","13,918","13,810","13,741",-39,-108,-69
AK,Kodiak Island Borough,7,7,8,11,3,"13,101","13,101","13,047","12,864","12,720",-54,-183,-144
AK,Kusilvak Census Area,9,9,12,12,0,"8,368","8,372","8,373","8,398","8,278",1,25,-120
AK,Lake and Peninsula Borough,9,9,12,12,5,"1,476","1,476","1,452","1,419","1,381",-24,-33,-38
AK,Matanuska-Susitna Borough,2,2,2,2,5,"107,081","107,082","107,515","111,059","113,325",433,"3,544","2,266"
AK,Nome Census Area,7,7,11,11,0,"10,046","10,049","10,028","9,908","9,835",-21,-120,-73
AK,North Slope Borough,7,7,11,11,2,"11,031","11,030","11,002","11,011","10,805",-28,9,-206
AK,Northwest Arctic Borough,7,7,11,11,2,"7,793","7,790","7,790","7,560","7,423",0,-230,-137
AK,Petersburg Borough,,9,,11,0,"3,398","3,399","3,405","3,373","3,360",6,-32,-13
AK,Prince of Wales-Hyder Census Area,,9,,10,5,"5,753","5,753","5,739","5,734","5,650",-14,-5,-84
AK,Sitka City and Borough,7,7,11,11,0,"8,458","8,448","8,425","8,410","8,382",-23,-15,-28
AK,Skagway Municipality,,9,,12,5,"1,240","1,242","1,240","1,142","1,081",-2,-98,-61
AK,Southeast Fairbanks Census Area,8,9,7,12,2,"6,808","6,805","6,820","7,005","7,021",15,185,16
AK,Wrangell City and Borough,,9,,12,5,"2,127","2,126","2,127","2,100","2,070",1,-27,-30
AK,Yakutat City and Borough,9,9,12,12,4,662,664,684,709,700,20,25,-9
AK,Yukon-Koyukuk Census Area,8,9,7,12,0,"5,343","5,339","5,296","5,280","5,179",-43,-16,-101
AZ,Arizona,,,,,,"7,151,502","7,151,507","7,179,943","7,264,877","7,359,197","28,436","84,934","94,320"
AZ,Apache County,6,6,6,6,4,"66,021","66,024","65,911","65,385","65,432",-113,-526,47
AZ,Cochise County,4,3,5,2,4,"125,447","125,448","125,522","125,763","125,663",74,241,-100
AZ,Coconino County,3,3,2,2,4,"145,101","145,100","145,180","142,780","144,060",80,"-2,400","1,280"
AZ,Gila County,4,4,3,3,5,"53,272","53,273","53,351","53,521","53,922",78,170,401
AZ,Graham County,6,7,8,8,4,"38,533","38,533","38,638","38,882","38,779",105,244,-103
AZ,Greenlee County,7,7,8,9,2,"9,563","9,561","9,526","9,377","9,302",-35,-149,-75
AZ,La Paz County,6,6,4,4,5,"16,557","16,555","16,575","16,391","16,506",20,-184,115
AZ,Maricopa County,1,1,1,1,0,"4,420,568","4,420,574","4,440,232","4,494,693","4,551,524","19,658","54,461","56,831"
AZ,Mohave County,4,3,3,2,5,"213,267","213,269","214,176","216,957","220,816",907,"2,781","3,859"
AZ,Navajo County,4,4,6,5,5,"106,717","106,716","106,762","107,621","108,650",46,859,"1,029"
AZ,Pima County,2,2,2,2,0,"1,043,433","1,043,434","1,045,175","1,048,895","1,057,597","1,741","3,720","8,702"
AZ,Pinal County,1,1,1,1,0,"425,264","425,257","429,446","448,144","464,154","4,189","18,698","16,010"
AZ,Santa Cruz County,4,4,5,5,4,"47,669","47,665","47,705","48,034","48,759",40,329,725
AZ,Yavapai County,3,3,2,2,5,"236,209","236,218","237,216","242,193","246,191",998,"4,977","3,998"
AZ,Yuma County,3,3,2,2,5,"203,881","203,880","204,528","206,241","207,842",648,"1,713","1,601"
AR,Arkansas,,,,,,"3,011,524","3,011,555","3,014,195","3,028,122","3,045,637","2,640","13,927","17,515"
AR,Arkansas County,6,6,6,6,3,"17,149","17,150","17,107","16,683","16,512",-43,-424,-171
AR,Ashley County,7,7,11,11,3,"19,062","19,064","18,962","18,649","18,354",-102,-313,-295
AR,Baxter County,7,7,8,8,0,"41,627","41,633","41,687","42,171","42,435",54,484,264
AR,Benton County,2,2,2,2,0,"284,333","284,329","286,586","294,337","302,863","2,257","7,751","8,526"
AR,Boone County,7,7,8,8,0,"37,373","37,372","37,383","37,890","38,284",11,507,394
AR,Bradley County,6,7,6,9,0,"10,545","10,540","10,488","10,332","10,135",-52,-156,-197
AR,Calhoun County,9,9,8,8,3,"4,739","4,742","4,738","4,737","4,695",-4,-1,-42
