fid,state
640,CT
641,CT
642,NY
643,CT
644,CT
645,CT
646,CT
647,CT
648,CT
649,CT
650,CT
651,CT
652,CT
653,CT
654,NY
655,CT
656,CT
657,CT
658,CT
659,CT
660,CT
661,CT
662,NY
663,NY
664,NY
665,NY
666,NY
667,CT
668,NY
669,NY
670,CT
671,CT
672,NY
673,NY
674,NY
675,NY
676,NY
677,CT
678,NY
679,NY
680,NY
681,CT
682,NY
683,NY
684,NY
685,NY
686,NY
687,NY
688,NY
689,NY
690,NY
691,NY
692,NY
693,NY
694,NY
695,NJ
696,NJ
697,NJ
698,NJ
699,NJ
700,NJ
701,NY
702,NJ
703,NJ
704,NY
705,NJ
706,NJ
707,NJ
708,NY
709,NJ
710,NJ
711,NJ
712,NJ
713,NJ
714,NY
715,NJ
716,NJ
717,NJ
718,NJ
719,NY
720,NY
721,NY
722,NJ
723,NJ
724,NJ
725,NJ
726,NJ
727,NJ
728,NJ
729,NJ
730,NJ
731,NY
732,NJ
733,NY
734,NJ
735,NJ
736,NY
737,NJ
738,NJ
739,NY
740,NY
741,NJ
742,NJ
743,NJ
744,NJ
745,NJ
746,NJ
747,NJ
748,NJ
749,NJ
750,NJ
751,NJ
752,NJ
753,NJ
754,NJ
755,NJ
756,NJ
757,NJ
758,NJ
759,NJ
760,NJ
761,NJ
762,NJ
763,NJ
764,NJ
765,NJ
766,NJ
767,NJ
768,NJ
769,NJ
770,NJ
771,NJ
772,NJ
773,NJ
774,NJ
775,NJ
776,NJ
777,NJ
778,NJ
779,NJ
780,NY
781,NJ
782,NJ
783,NY
784,NY
785,NY
786,NJ
787,NY
788,NJ
789,NY
790,NY
791,NY
792,NY
793,NY
794,NY
795,NY
796,NY
797,NY
798,NY
799,NJ
800,NJ
801,NY
802,NY
803,NY
804,NY
805,NY
806,NJ
807,NJ
808,NJ
809,NJ
810,NJ
811,NJ
812,NJ
813,NJ
814,NJ
815,NJ
816,NJ
817,NJ
818,NJ
819,NJ
820,NY
821,NY
822,NY
823,NJ
824,NJ
